Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
11200,1.5,Good,E,SI1,64.1,56.0,7.21,7.14,4.6,8820
25740,0.35,Very Good,E,SI1,62.7,57.0,4.47,4.52,2.82,614
14108,1.16,Ideal,I,SI1,61.7,56.0,6.76,6.7,4.15,4668
13197,1.01,Very Good,I,SI1,63.4,55.0,6.39,6.35,4.04,4185
10238,1.12,Ideal,F,VS2,61.8,55.0,6.63,6.67,4.11,9138
21847,0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53,2893
24921,0.43,Ideal,D,VS1,61.6,56.0,4.85,4.86,2.99,1207
20476,0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53,554
21622,0.43,Ideal,I,VS2,62.0,55.0,4.84,4.87,3.01,716
18728,0.53,Ideal,E,VS2,62.0,56.0,5.29,5.2,3.25,1956
3988,1.51,Good,H,VS1,58.2,58.0,7.49,7.56,4.38,10819
12081,0.31,Premium,H,VVS1,61.9,58.0,4.34,4.32,2.68,907
519,0.32,Ideal,G,VVS1,60.3,58.0,4.44,4.48,2.69,779
11518,1.01,Good,I,VS2,63.9,59.0,6.29,6.26,4.01,4197
22395,1.58,Very Good,G,SI2,60.0,53.0,7.59,7.64,4.57,9037
24842,0.34,Ideal,H,VS2,61.4,57.0,4.48,4.55,2.77,537
20549,0.5,Ideal,G,VVS2,62.3,56.0,5.09,5.05,3.16,1935
24679,2.05,Ideal,J,SI2,61.6,55.0,8.18,8.11,5.02,12654
21068,0.53,Ideal,H,VVS1,62.4,54.0,5.18,5.2,3.24,1743
2835,0.47,Very Good,G,VS1,60.5,59.4,5.03,5.08,3.06,1203
26743,0.9,Very Good,G,SI1,61.6,59.0,6.13,6.19,3.8,3597
12088,1.01,Premium,E,SI1,62.0,61.0,6.42,6.38,3.97,5311
19043,0.35,Premium,J,VS1,62.2,58.0,4.54,4.49,2.81,591
21785,0.41,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92,876
9553,1.01,Premium,G,SI1,63.0,59.0,6.32,6.27,3.96,4338
23889,1.26,Premium,J,VS2,62.0,60.0,7.0,6.86,4.3,5173
6026,0.46,Ideal,D,VS2,62.4,56.0,4.95,4.98,3.1,1240
8219,0.8,Very Good,H,SI1,63.0,57.0,5.89,5.95,3.73,3005
11642,1.54,Ideal,G,VVS1,60.8,57.0,7.49,7.45,4.54,16316
13011,0.39,Premium,F,SI1,60.1,59.0,4.77,4.74,2.86,823
22182,0.74,Very Good,G,SI2,60.3,57.0,5.85,5.87,3.54,2505
19987,1.67,Ideal,I,VS2,61.9,57.0,7.56,7.59,4.69,12406
13907,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,982
8017,0.59,Ideal,E,VVS2,61.8,57.0,5.35,5.4,3.32,3026
24964,0.75,Very Good,E,VS2,60.4,56.0,5.9,5.96,3.58,3817
14176,0.54,Premium,E,VS2,59.6,59.0,5.32,5.26,3.16,1555
14221,1.1,Good,F,SI2,,61.0,6.61,6.67,4.02,4674
10793,1.21,Very Good,H,VS1,63.3,58.0,6.77,6.72,4.27,6871
25329,1.1,Premium,H,SI2,60.9,57.0,6.67,6.62,4.05,4558
4520,0.28,Good,H,VVS1,56.0,64.0,4.38,4.41,2.46,480
24744,0.42,Ideal,J,VS1,60.9,57.0,4.83,4.86,2.95,663
15315,1.5,Premium,I,VS2,62.3,59.0,7.24,7.3,4.53,8431
11362,1.02,Very Good,H,VS1,61.4,56.5,6.44,6.47,3.97,6204
1528,0.44,Very Good,D,VS2,62.8,58.0,4.79,4.86,3.03,850
11219,0.3,Premium,G,VVS1,60.7,58.0,4.34,4.36,2.64,789
4895,0.29,Ideal,G,VS1,62.2,54.0,4.23,4.26,2.64,507
4634,0.32,Premium,G,VVS2,62.0,55.0,4.42,4.39,2.73,936
1634,1.53,Ideal,I,VS2,61.5,56.0,7.39,7.44,4.55,11434
979,0.32,Premium,H,VVS1,60.9,58.0,4.43,4.4,2.69,936
12089,0.71,Good,E,SI2,58.7,61.0,5.73,5.78,3.38,2226
8861,1.5,Premium,G,SI2,61.8,59.0,7.29,7.21,4.48,9072
12267,1.02,Very Good,I,VS2,59.3,59.0,6.56,6.6,3.9,4532
21448,1.35,Good,I,VS2,59.2,65.0,7.18,7.13,4.23,5610
6549,1.1,Ideal,G,VS1,62.0,58.0,6.59,6.64,4.1,8060
1294,1.14,Ideal,H,SI1,61.6,57.0,6.7,6.75,4.14,5003
17910,1.12,Premium,H,VS2,,59.0,6.77,6.7,4.08,6052
11236,0.75,Very Good,F,SI2,60.5,57.0,5.88,5.95,3.58,2274
3397,1.36,Very Good,H,VS1,59.9,58.0,7.16,7.2,4.3,9178
3552,0.62,Premium,F,SI1,61.3,60.0,5.48,5.45,3.35,1633
11964,0.32,Very Good,H,VS2,62.3,57.0,4.37,4.39,2.73,505
11828,1.09,Ideal,E,SI2,59.4,57.0,6.74,6.65,3.98,3760
16436,0.54,Premium,E,SI1,62.2,61.0,5.24,5.15,3.23,1375
19742,0.33,Premium,I,VVS2,61.0,59.0,4.41,4.44,2.7,579
5675,2.0,Very Good,D,SI2,60.0,56.0,8.16,8.23,4.92,17953
23479,0.31,Premium,D,VS1,59.6,58.0,4.38,4.41,2.62,683
13226,0.37,Ideal,E,VVS2,61.6,55.0,4.62,4.63,2.85,1162
21748,0.58,Ideal,F,VS2,62.1,55.0,5.33,5.37,3.32,1666
3574,0.3,Good,I,SI1,64.1,57.0,4.25,4.3,2.74,391
13646,1.29,Very Good,I,VS1,,58.0,6.98,7.03,4.28,5562
21459,2.09,Very Good,I,VS1,62.9,57.0,8.09,8.13,5.1,18215
2106,0.33,Ideal,H,VVS2,62.2,54.0,4.46,4.44,2.77,854
13023,0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,3564
26934,0.7,Ideal,E,VVS2,62.4,54.0,5.66,5.71,3.55,3585
22241,1.09,Good,D,IF,58.7,61.0,6.75,6.85,3.99,16406
25560,1.07,Very Good,G,VS2,62.3,57.0,6.56,6.47,4.06,6274
19690,0.56,Very Good,E,VS2,61.8,56.0,5.28,5.31,3.27,1819
24247,1.0,Good,D,SI2,57.8,58.0,6.55,6.61,3.8,4218
9988,1.04,Ideal,H,SI2,59.6,56.0,6.64,6.59,3.94,4077
15989,0.71,Very Good,J,SI1,63.5,58.0,5.63,5.67,3.59,1917
8981,0.55,Ideal,G,VS2,61.4,56.3,5.26,5.29,3.24,1662
19577,1.03,Ideal,F,SI2,61.6,55.0,6.46,6.49,3.99,4683
13980,0.52,Very Good,G,VVS1,61.9,61.0,5.11,5.13,3.17,2045
10478,1.01,Good,F,VVS2,65.9,54.0,6.18,6.27,4.1,7001
25986,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,4630
19665,1.0,Premium,G,VS2,59.3,60.0,6.55,6.51,3.87,6048
2812,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,3607
26812,0.36,Premium,J,SI1,61.3,60.0,4.52,4.59,2.79,421
14595,0.51,Premium,H,SI1,60.6,59.0,5.17,5.13,3.12,1116
8297,0.54,Premium,D,VS2,61.1,55.0,5.37,5.24,3.24,1993
14831,0.5,Very Good,D,SI2,63.2,56.0,5.05,5.01,3.18,1243
19755,0.56,Very Good,F,VS1,58.2,60.0,5.38,5.41,3.14,1915
25854,0.93,Very Good,D,SI2,62.6,57.0,6.2,6.26,3.9,4214
17780,2.0,Ideal,I,VS1,62.0,57.0,8.04,7.99,4.97,17607
17978,0.48,Ideal,F,SI2,61.0,57.0,5.05,5.08,3.09,918
7225,1.13,Ideal,H,SI1,61.9,60.0,6.63,6.65,4.11,5911
18237,0.9,Good,I,VVS1,63.6,58.0,6.1,6.14,3.89,4187
1412,0.91,Very Good,I,VS2,59.9,58.0,6.35,6.27,3.78,4008
15277,1.2,Ideal,E,VVS1,61.8,56.0,6.78,6.87,4.22,16256
1564,2.0,Fair,I,VS1,58.5,68.0,8.26,8.15,4.8,11322
387,1.04,Ideal,F,SI1,61.3,56.0,6.55,6.5,4.0,5882
5083,1.0,Very Good,D,SI1,59.3,61.0,6.45,6.5,3.84,5987
18172,1.16,Ideal,H,SI1,62.2,54.0,6.72,6.75,4.19,6036
11991,1.12,Ideal,E,VVS1,61.5,56.0,6.7,6.76,4.13,14407
20689,1.01,Ideal,G,VVS2,62.0,58.0,6.36,6.39,3.95,7597
18492,1.01,Very Good,D,VS2,60.4,58.0,6.47,6.57,3.94,6905
16793,1.21,Very Good,F,VS1,62.3,58.0,6.76,6.85,4.24,10009
9634,1.12,Ideal,G,VS1,61.0,56.0,6.76,6.72,4.11,7632
7336,1.01,Good,F,SI1,63.8,59.0,6.32,6.29,4.02,4989
17478,1.31,Very Good,J,SI1,62.5,55.0,6.97,7.05,4.38,5382
23276,0.7,Very Good,I,VS2,63.0,60.0,5.59,5.62,3.53,1867
727,0.3,Ideal,F,VVS1,62.2,56.0,4.27,4.31,2.67,814
13563,1.0,Premium,D,VS1,62.7,60.0,6.36,6.31,3.97,8020
13443,0.41,Premium,G,VS2,59.8,58.0,4.8,4.84,2.88,827
6805,0.52,Ideal,H,VS2,62.2,56.4,5.09,5.16,3.19,1391
12424,1.03,Ideal,H,SI1,62.0,56.0,6.44,6.49,4.01,5093
5205,0.52,Premium,G,VVS2,61.0,58.0,5.15,5.21,3.16,1707
5360,0.9,Very Good,I,VS2,63.4,56.0,6.09,6.12,3.87,3489
6310,1.01,Very Good,D,SI2,59.1,63.0,6.59,6.54,3.88,3671
3100,1.71,Very Good,F,VS2,58.5,61.0,7.88,7.79,4.58,17052
25729,0.72,Premium,E,VS2,60.3,59.0,5.84,5.8,3.51,2822
600,0.7,Ideal,I,VVS1,62.3,55.0,5.7,5.64,3.53,2536
22007,0.61,Very Good,D,SI1,58.5,58.0,5.54,5.64,3.27,1828
9167,1.02,Ideal,E,VS1,60.1,57.0,6.52,6.59,3.94,8096
15658,0.47,Premium,E,SI2,58.7,60.0,5.13,5.09,3.0,1072
9416,1.52,Good,G,VS1,64.0,58.0,7.22,7.18,4.61,13903
21690,0.63,Good,J,SI1,59.9,64.0,5.63,5.58,3.36,1134
13209,0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981
2034,1.51,Very Good,H,VS1,61.8,59.0,7.27,7.32,4.51,11161
13816,0.41,Ideal,F,VVS1,60.9,56.0,4.83,4.79,2.93,1356
12009,0.31,Ideal,I,VVS1,62.0,54.0,4.34,4.37,2.7,571
21052,0.31,Premium,J,VS1,60.7,60.0,4.39,4.34,2.65,523
18452,0.4,Very Good,E,VS2,59.4,58.0,4.78,4.82,2.85,770
8728,0.57,Ideal,H,VS2,61.5,57.0,5.35,5.38,3.3,1759
5424,1.29,Premium,H,VS2,62.4,57.0,6.98,6.92,4.34,6987
10088,0.81,Ideal,F,VS1,61.8,55.0,5.97,6.03,3.71,4270
19893,0.61,Ideal,F,SI2,,55.0,5.47,5.55,3.38,1424
18923,0.43,Ideal,G,VVS2,61.4,55.0,4.88,4.83,2.98,1129
12084,0.65,Ideal,D,VS2,61.6,57.0,5.55,5.59,3.43,2402
21686,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,4537
1501,0.33,Ideal,D,VS2,62.3,56.0,4.43,4.46,2.77,781
15211,1.56,Premium,D,SI1,62.6,58.0,7.36,7.44,4.63,12226
10488,1.5,Ideal,F,VS2,61.7,54.0,7.28,7.31,4.5,14092
25319,0.5,Ideal,E,SI1,61.6,57.0,5.13,5.09,3.15,1415
8402,0.3,Premium,E,SI1,60.6,58.0,4.34,4.3,2.62,675
542,1.06,Premium,E,VS2,61.3,58.0,6.56,6.52,4.01,7408
2186,2.04,Very Good,J,VS2,62.4,57.0,8.04,8.19,5.06,13825
13316,0.8,Premium,E,SI1,61.5,58.0,5.97,5.93,3.66,3297
7865,1.0,Premium,F,VVS2,61.2,60.0,6.43,6.38,3.92,8400
15958,1.06,Ideal,G,VS2,61.9,54.0,6.54,6.58,4.06,6890
